HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
3ZXNP4Z39RHAB571OPFYXS1PE007LF	F0039	en	es	ad	0	810	"Thu Nov 24 12:01:39 2016"	"Thu Nov 24 12:15:09 2016"	Submitted
32LAQ1JNT9L0STR2A6A0TBPQGOJUT7	F0007	en	es	ad	1	1542	"Thu Nov 24 12:24:33 2016"	"Thu Nov 24 12:50:15 2016"	Submitted
3IKMEYR0LWRS5YSDXDM2M172EK92KR	F0037	en	es	ad	2	3559	"Thu Nov 24 11:58:41 2016"	"Thu Nov 24 12:58:00 2016"	Submitted
3HXCEECSQMPDVEK6QZW7IKWKX8GZYQ	F0039	en	es	ad	3	1472	"Thu Nov 24 12:01:59 2016"	"Thu Nov 24 12:26:31 2016"	Submitted
3ZICQFRS31ED04UBMLYQWR5M32KZZH	F0035	en	es	ad	4	1706	"Thu Nov 24 11:45:55 2016"	"Thu Nov 24 12:14:21 2016"	Submitted
3ZFRE2BDQ9AOV9UWL3A5Z6PBV2MZXK	F0039	en	es	ad	5	1645	"Thu Nov 24 12:21:39 2016"	"Thu Nov 24 12:49:04 2016"	Submitted
3I7SHAD35MSUHNPMO1GDX5GEE5Q7MH	F0008	en	es	ad	6	2982	"Thu Nov 24 12:08:02 2016"	"Thu Nov 24 12:57:44 2016"	Submitted
3U74KRR67MHNX37TD5YEFGXW8SQNT8	F0027	en	es	ad	7	1451	"Thu Nov 24 12:24:10 2016"	"Thu Nov 24 12:48:21 2016"	Submitted
3XWUWJ18TLMFS66RAB0AY7BSZ2QUUY	F0039	en	es	ad	8	1150	"Thu Nov 24 12:01:50 2016"	"Thu Nov 24 12:21:00 2016"	Submitted
38G0E1M85M1F5LVRF1AFUTDBD9ZUVN	F0039	en	es	ad	9	1037	"Thu Nov 24 12:21:22 2016"	"Thu Nov 24 12:38:39 2016"	Submitted
3PIOQ99R7YI2XGMIDAOOKCJYR6XNUZ	F0018	en	es	ad	10	1714	"Thu Nov 24 12:03:01 2016"	"Thu Nov 24 12:31:35 2016"	Submitted
3SMIWMMK611SKAVW5BFBGVWPKI1UWX	F0044	en	es	ad	11	4021	"Thu Nov 24 11:30:55 2016"	"Thu Nov 24 12:37:56 2016"	Submitted
3B9J25CZ2593RZXNZFKAP07Y75YSC6	F0023	en	es	ad	12	4212	"Thu Nov 24 12:04:49 2016"	"Thu Nov 24 13:15:01 2016"	Submitted
30U1YOGZGASDWR31ZBFL96PGS5ASD6	F0039	en	es	ad	13	1044	"Thu Nov 24 12:15:28 2016"	"Thu Nov 24 12:32:52 2016"	Submitted
302U8RURJZX2AVBII0YTGYLH5D6NVO	F0039	en	es	ad	14	2219	"Thu Nov 24 12:26:45 2016"	"Thu Nov 24 13:03:44 2016"	Submitted
3N3WJQXELSM3P4AVIDY311KH3KE2LU	F0039	en	es	ad	15	1336	"Thu Nov 24 12:21:49 2016"	"Thu Nov 24 12:44:05 2016"	Submitted
3JMQI2OLFZ1GGEBWRFYZACFA57ZNDO	F0016	en	es	ad	0	1681	"Fri Nov 25 08:42:24 2016"	"Fri Nov 25 09:10:25 2016"	Submitted
3XQ4XW3OD98QTH5L2MV4DNYCVFIS2W	F0040	en	es	ad	1	4933	"Fri Nov 25 08:07:18 2016"	"Fri Nov 25 09:29:31 2016"	Submitted
344M16OZKIBL8KPWNA9JGUXV5J0NEH	F0040	en	es	ad	2	4587	"Fri Nov 25 07:41:20 2016"	"Fri Nov 25 08:57:47 2016"	Submitted
3FDWKV9VCNYWFY1I199O7XUYMHKUM5	F0040	en	es	ad	3	1644	"Fri Nov 25 07:27:17 2016"	"Fri Nov 25 07:54:41 2016"	Submitted
3J6BHNX0U9OOUKH6JWKMEPA0PGWKNY	F0027	en	es	ad	4	1055	"Fri Nov 25 08:23:47 2016"	"Fri Nov 25 08:41:22 2016"	Submitted
3QREJ3J433TY6KEL7J471X6BKLWKLW	F0027	en	es	ad	5	1553	"Fri Nov 25 07:57:47 2016"	"Fri Nov 25 08:23:40 2016"	Submitted
3HFWPF5AK9FFEZ146M99WX341TIS37	F0019	en	es	ad	6	1559	"Fri Nov 25 09:00:16 2016"	"Fri Nov 25 09:26:15 2016"	Submitted
391JB9X4ZY4IC2W67V5M1AL0KQMKMY	F0037	en	es	ad	7	5220	"Fri Nov 25 08:12:27 2016"	"Fri Nov 25 09:39:27 2016"	Submitted
3W3RSPVVGSNC9GJX1X897KF9MCUUL3	F0037	en	es	ad	8	1127	"Fri Nov 25 09:39:27 2016"	"Fri Nov 25 09:58:14 2016"	Submitted
3XT3KXP24ZUPH4LQKCDTZY912MII6B	F0040	en	es	ad	9	1512	"Fri Nov 25 07:18:03 2016"	"Fri Nov 25 07:43:15 2016"	Submitted
3RHLQY6EDT0UU61Q9AJ3B39AEQ4D4J	F0040	en	es	ad	10	4979	"Fri Nov 25 07:54:57 2016"	"Fri Nov 25 09:17:56 2016"	Submitted
3I6NF2WGIGSF29FHP53LMGILREF5GQ	F0033	en	es	ad	11	801	"Fri Nov 25 08:35:36 2016"	"Fri Nov 25 08:48:57 2016"	Submitted
367O8HRHKG40WVK860ES62VAFTES4S	F0041	en	es	ad	12	3475	"Fri Nov 25 08:35:23 2016"	"Fri Nov 25 09:33:18 2016"	Submitted
3M0556243SGDEYPSILTPYCIVHKFNFZ	F0037	en	es	ad	13	2209	"Fri Nov 25 10:17:25 2016"	"Fri Nov 25 10:54:14 2016"	Submitted
32L724R85LGXRA3VZ8C25Y0IXR8PIO	F0027	en	es	ad	14	979	"Fri Nov 25 07:41:20 2016"	"Fri Nov 25 07:57:39 2016"	Submitted
3GVPRXWRPHQ8L4ZV3MIL5C9XXX2I7A	F0031	en	es	ad	15	1103	"Fri Nov 25 08:11:48 2016"	"Fri Nov 25 08:30:11 2016"	Submitted
