HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	96	REF	666	0.796752683772481	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	97	SYSTEM	672	0.638470551411422	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	98	REF	567	0.796752683772481	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	99	BAD_REF	999	-0.152940110393873	1455
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	0	SYSTEM	1039	-1.16985758995305	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	1	SYSTEM	357	1.3080849892508	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	2	SYSTEM	658	1.3080849892508	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	3	SYSTEM	853	-0.572762992554529	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	4	SYSTEM	614	-1.02058394060342	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	5	SYSTEM	185	0.651280932112434	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	6	BAD_REF	887	-1.31913123930268	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	7	SYSTEM	701	-1.14000286008312	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	8	SYSTEM	221	-0.214506234115418	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	9	SYSTEM	971	-1.25942177956283	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	10	SYSTEM	847	-1.02058394060342	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	11	REPEAT	413	-1.2295670496929	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	12	SYSTEM	163	-0.662327182164307	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	13	SYSTEM	47	-1.1101481302132	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	14	BAD_REF	349	-0.393634613334973	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	15	BAD_REF	20	-1.16985758995305	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	16	BAD_REF	252	-1.02058394060342	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	17	SYSTEM	287	-0.184651504245492	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	18	SYSTEM	314	-1.05043867047334	1913
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	all	19	REF	141	1.48721336847036	1913
